RES341	Ingénierie des réseaux radiomobiles		Cours de spé	RES	P3	P3B	P4	P4A	Philippe GODLEWSKI	Philippe MARTINS GONÇALVES								
RES343	Nouvelles technologies IP et internet du futur		Cours de spé	RES	P2	P2B	P4	P4A	Jean-Louis ROUGIER									
RES344	Réseaux et communications d'entreprise		Cours de spé	RES	P3	P3A	Ahmed SERHROUCHNI											
RES345	Réseaux radiomobiles cellulaires		Cours de spé	RES	P2	P2A	P4	P4B	Marceau COUPECHOUX	Philippe GODLEWSKI	Philippe MARTINS GONÇALVES							
RES346	Cloud computing: architecture, réseaux, mise en oeuvre		Cours de spé	RES	P3	P3A	Maurice GAGNAIRE											
SES221	IDEE: Innovation et développement, approche économique		Cours de base	SES	P1	P1A2	Maya BACACHE											
SES222	Technologies et société		Cours de base	SES	P2	P2B1	Jerome DENIS											
SES223	Cultures et sociabilités du numérique		Cours de base	SES	P1	P1A1	Antonio Casilli											
SES224	Ecritures et lectures numériques		Cours de base	SES	P3	P3B1	Isabelle GARRON	Valérie BEAUDOUIN										
SES240	Management de l'entreprise : fondamentaux en stratégie / finance / marketing		Cours de base	SES	P2	P2B	Remi MANIAK											
SES241	Economie et stratégie		Cours de base	SES	P2	P2A	David BOUNIE											
SES247	Management et design de l'innovation technologique		Cours de base	SES	P3	P3A	Annie GENTES	Myriam DAVIDOVICI-NORA										
SES249	Entrepreneuriat		Cours de base	SES	P1	P1B	Thomas HOUY											
SES340	Techniques de l'économiste et du gestionnaire		Cours de spé	SES	P4	P4A	Bernard BURTSCHY	David BOUNIE	Patrick WAELBROECK									
SES344	Projets incubateur		Cours de spé	SES	P4	P4B	Isabelle GARRON	Jerome DENIS										
SES347	Econométrie		Cours de spé	SES	P4	P4B	Patrick WAELBROECK											
SES349	Télécom, Internet, Médias (stratégie et acteurs)		Cours de spé	SES	P3	P3B	Lukasz Grzybowski	Patrick WAELBROECK										
SES381	Projet d'innovation		Cours de spé	projet	SES	P1	P1A	P1	P1B	P2	P2A	P2	P2B	P3	P3A	P3	P3B	P4
SI220	Acoustique		Cours de base	SI	P3	P3B2	Bertrand DAVID	Jean-Marie NICOLAS										
SI221	Bases de la reconnaissance des formes		Cours de base	SI	P1	P1B1	P2	P2A2	Jean-Marie NICOLAS	Laurence LIKFORMAN-SULEM								
SI222	Techniques de compression		Cours de base	SI	P1	P1A1	P2	P2B2	Gaël RICHARD	Marco CAGNAZZO								
SI223	Optique non linéaire		Cours de base	SI	P2	P2A2	Isabelle ZAQUINE											
SI224	Bases de la mécanique quantique		Cours de base	SI	P2	P2A1	Isabelle ZAQUINE											
SI227	Etudes de cas en signal		Cours de base	SI	P2	P2A1	P3	P3B1	Slim ESSID									
SI241	Traitement et analyse des images		Cours de base	SI	P1	P1A	P3	P3A	Yann GOUSSEAU									
SI340	Signal audiofréquence et parole		Cours de spé	SI	P4	P4A	Bertrand DAVID	Gaël RICHARD										
SI341	Méthodes avancées pour le traitement du signal		Cours de spé	SI	P3	P3A	Pascal BIANCHI	Roland BADEAU										
SI343	Méthodes avancées de traitement des images		Cours de spé	SI	P3	P3B	Florence TUPIN											
SI344	Vision artificielle et raisonnement dans les images		Cours de spé	SI	P2	P2B	Michel ROUX											
SI345	Application du traitement des images		Cours de spé	SI	P4	P4B	Jean-Marie NICOLAS											
SI349	Communications et calcul quantiques		Cours de spé	SI	P3	P3A	Eleni DIAMANTI	Isabelle ZAQUINE										
SI350	Vidéo numérique et multimédia		Cours de spé	SI	P4	P4B	Marco CAGNAZZO											
SI380	Projet de traitement du signal		Cours de spé	SI	P2	P2B	P3	P3A	P4	P4B	Bertrand DAVID	Roland BADEAU						
SI381	Projet de traitement des images		Cours de spé	projet	SI	P3	P3A	P4	P4A	Michel ROUX	Said LADJAL							
SI382	Projet multimédia		Cours de spé	projet	INF	SI	P3	P3A	P3	P3B	Cyril CONCOLATO	Jean LE FEUVRE	Jean-Claude MOISSINAC					
SI383	Projet théorique en information quantique		Cours de spé	projet	SI	P4	P4B	Damian MARKHAM	Isabelle ZAQUINE									
SI384	Projet expérimental en traitement quantique du signal		Cours de spé	projet	SI	P3	P3B	Isabelle ZAQUINE										
SIMDI226	Statistiques des séries temporelles		Cours de base	MDI	SI	P2	P2B1	Eric MOULINES	Francois ROUEFF									
